Unemployment Rate (percent),,None.1,None.2,None.3,None.4,None.5,None.6,None.7,None.8,Unnamed: 10,Unnamed: 11
7.8,8.4,8.2,6.9,6.4,5.3,4.5,4.4,3.9,,47338,0.836611703161727
6.7,7.1,6.3,5.3,5.0,3.9,4.2,4.6,3.7,,46856,0.828093243553718
7.2,8.5,7.9,6.5,6.1,4.9,4.5,4.7,4.2,,57346,1.01348461552056
6.1,7.4,7.3,6.5,5.8,4.7,4.2,4.0,3.6,,46582,0.82325079971016
9.1,7.7,7.8,7.1,6.2,5.0,4.5,4.6,4.2,,34587,0.611261332909178
7.3,7.2,6.5,5.6,5.4,4.4,4.6,5.5,4.3,,51863,0.916582719191277
5.4,7.9,8.0,7.5,7.0,6.3,5.6,6.0,6.0,,35252,0.623013979463797
8.2,8.9,8.8,8.3,7.4,5.9,4.7,4.3,3.9,,51827,0.915946485693583
6.8,8.4,7.9,6.5,6.2,4.4,4.4,5.6,6.0,,53936,0.953219164766803
5.2,5.3,5.4,4.6,4.2,3.7,3.6,3.2,3.0,,67249,1.18850184684446
6.2,7.8,6.9,5.8,5.3,3.7,4.2,4.9,3.7,,46975,0.830196348726649
7.4,7.0,6.2,5.1,5.0,3.9,3.7,4.7,4.0,,53143,0.939204354664829
10.1,12.4,12.3,10.6,10.5,8.1,7.5,7.7,7.4,,44909,0.793683615220119
4.8,4.9,5.0,4.9,4.1,3.6,3.2,2.9,3.1,,46688,0.825124153897814
9.5,11.3,11.4,11.1,10.9,8.3,7.0,7.0,7.3,,46198,0.816464309068095
7.7,10.3,8.6,6.6,7.1,6.1,7.2,9.5,7.2,,33784,0.597069791280066
9.0,10.0,7.9,6.2,6.1,5.2,7.9,10.5,7.5,,40056,0.707915805100472
8.2,8.7,7.8,6.6,6.1,5.0,4.4,4.4,3.8,,59809,1.05701359065444
7.7,8.8,8.3,7.2,6.7,5.5,5.5,5.8,5.3,,40931,0.72337981372497
9.0,9.1,7.8,6.1,5.4,3.6,4.2,4.9,3.5,,47608,0.841383454394429
8.2,8.5,8.0,7.0,6.4,5.1,4.1,3.8,3.5,,62363,1.10215082268526
5.7,6.2,6.1,5.4,5.1,4.0,3.3,3.2,3.1,,83805,1.48109856317268
6.0,6.8,6.3,5.1,4.0,3.0,3.2,4.6,3.3,,38718,0.684269126769524
5.2,4.8,4.7,4.0,3.9,3.5,2.6,3.0,2.6,,45123,0.797465669900854
5.8,6.7,6.7,5.8,5.5,4.4,3.7,3.6,3.4,,50461,0.891804959086651
5.2,6.0,6.2,4.9,4.9,3.9,3.6,3.8,3.5,,40118,0.709011540568722
5.1,4.3,3.8,4.5,4.6,4.0,3.5,4.0,3.7,,59142,1.04522559779439
7.7,11.2,10.1,8.8,9.5,7.2,6.3,5.8,5.5,,40612,0.717742078009296
6.7,8.4,8.0,6.9,6.5,5.4,5.9,6.7,5.9,,44106,0.779492073591008
5.8,5.9,5.8,5.2,5.4,4.3,3.8,4.2,4.0,,37586,0.664263117897602
7.7,9.3,9.8,9.2,8.1,6.1,4.8,4.6,4.2,,41887,0.74027534771928
7.1,7.6,7.6,8.0,6.8,5.8,8.9,6.5,5.2,,37846,0.668858137603167
5.8,7.1,7.6,7.1,7.2,5.6,4.4,4.2,3.7,,52637,0.93026173939169
9.2,8.9,6.7,4.4,3.8,3.1,4.2,5.2,3.7,,39926,0.705618295247689
5.7,6.9,5.9,4.8,4.7,3.9,3.8,4.2,3.6,,48975,0.865542654154075
6.7,7.2,6.5,5.4,5.1,4.0,3.6,3.8,3.3,,51768,0.914903769683474
7.0,8.9,8.7,7.4,6.9,5.3,5.3,6.5,6.3,,44891,0.793365498471272
10.1,11.7,11.1,9.6,8.9,7.2,6.9,7.5,7.1,,48592,0.858773836664723
6.3,7.9,8.3,6.9,6.7,5.8,5.0,5.6,5.5,,39382,0.69600410017143
6.8,5.9,4.6,3.9,4.0,3.4,3.9,4.4,3.2,,54180,0.957531414028949
7.0,7.3,5.9,4.6,4.4,3.6,4.0,5.9,4.7,,51953,0.918173302935511
6.9,8.1,7.7,6.8,6.4,5.2,4.2,4.2,3.7,,48135,0.850697205874556
9.3,5.6,6.1,6.0,5.3,5.1,5.2,4.7,5.0,,64179,1.13424526801336
5.4,6.3,6.0,5.3,4.9,3.9,3.4,3.4,3.2,,48587,0.858685470901154
6.0,6.6,6.6,6.0,5.3,4.4,4.0,4.0,3.8,,39869,0.704610925543008
7.9,7.0,5.9,5.4,5.3,4.2,4.8,4.5,3.6,,40125,0.709135252637718
6.7,7.4,7.4,6.6,6.2,5.0,4.1,4.0,3.8,,46662,0.824664651927257
6.9,4.3,3.0,2.4,2.6,2.0,2.1,2.1,1.9,,67249,1.18850184684446
7.4,8.4,8.3,7.1,6.5,4.9,4.3,5.1,4.6,,42429,0.749854196490112
10.3,11.8,10.4,9.1,8.1,6.4,6.5,7.0,5.7,,34919,0.61712881961013
4.8,6.0,5.6,4.5,4.2,3.4,3.5,4.4,3.2,,58760,1.03847445345775
5.0,6.3,6.0,5.2,5.5,4.6,3.8,3.6,3.3,,44818,0.792075358323171
10.0,11.5,11.6,10.1,9.7,7.8,6.7,7.3,7.2,,46324,0.818691126310023
14.3,15.2,14.0,12.5,12.5,10.9,10.6,11.2,9.3,,35654,0.630118586854709
6.7,7.5,7.5,6.6,6.1,4.9,4.4,4.4,3.8,,51304,0.906703426824311
6.6,7.4,7.2,6.3,5.9,4.7,5.1,4.5,4.8,,34839,0.615714967393033
5.6,5.9,4.8,3.9,3.7,2.9,3.5,4.4,3.0,,68729,1.21465811286075
10.9,11.2,10.2,8.6,7.8,6.2,5.2,5.2,5.0,,42302,0.74760970609547
5.3,6.3,6.3,5.4,5.3,4.3,3.7,4.1,3.5,,43540,0.769489069155047
8.3,8.2,7.5,6.0,5.5,4.3,5.6,7.0,5.5,,41262,0.729229627273209
7.1,8.0,6.5,5.4,4.9,4.0,4.2,4.9,4.0,,46237,0.817153562023929
6.9,7.5,7.1,5.9,5.4,4.4,4.2,4.9,4.3,,72506,1.28140961066045
4.6,5.4,4.8,4.3,4.3,3.5,3.1,3.0,2.9,,52344,0.925083505646572
14.9,13.8,12.0,9.7,9.6,7.8,8.8,10.9,8.6,,38255,0.676086457063075
5.4,6.3,6.9,5.9,6.0,4.2,3.5,3.6,3.7,,37464,0.662106993266529
6.5,7.1,7.0,6.6,6.5,5.3,4.7,4.7,4.3,,38099,0.673329445239736
7.8,8.3,8.1,7.3,6.5,5.2,4.2,4.2,3.9,,44111,0.779580439354576
11.5,12.7,12.7,11.1,10.8,8.3,7.5,7.9,7.9,,41388,0.731456444515137
6.3,7.5,7.0,5.9,5.7,4.3,4.0,4.8,4.1,,40969,0.724051393528091
6.7,8.1,7.9,6.6,6.1,5.1,4.9,5.6,5.4,,53562,0.946609405651874
5.9,5.9,4.8,3.9,3.8,3.0,4.3,5.2,3.7,,61194,1.08149090716293
5.6,4.6,4.3,4.3,4.5,3.6,3.0,3.0,2.5,,54212,0.958096954915787
9.8,11.7,11.5,10.5,10.4,8.0,6.5,6.7,6.9,,53611,0.947475390134846
7.8,8.6,7.9,6.7,6.5,5.1,5.2,5.5,4.1,,43589,0.770355053638018
7.3,9.0,8.2,6.9,6.2,4.9,5.2,7.2,5.5,,47780,0.844423236661188
7.6,7.6,6.9,5.9,5.5,4.6,4.1,4.1,3.5,,67735,1.19709099906332
4.4,4.4,4.4,4.1,3.9,3.0,2.4,2.5,2.5,,48344,0.854390894791722
8.6,7.3,6.0,5.1,5.4,4.2,5.2,5.9,4.5,,45414,0.802608557340544
9.1,9.7,9.3,8.0,7.7,6.4,6.0,6.3,6.0,,43014,0.760192990827634
6.0,6.3,5.9,5.3,5.0,4.0,3.3,3.3,3.2,,41563,0.734549246240037
16.2,18.5,15.2,13.3,12.9,11.6,10.6,10.7,9.4,,32742,0.578654366152378
8.0,8.8,8.2,7.0,6.1,4.9,4.5,4.0,3.5,,47354,0.836894473605146
4.6,5.2,5.0,4.4,4.3,3.4,2.9,2.9,2.8,,65795,1.16280508279872
6.0,5.5,4.4,3.4,4.0,3.2,4.5,6.2,3.8,,67308,1.18954456285457
5.5,9.1,9.9,9.4,8.0,6.2,5.1,5.7,5.7,,36744,0.649382323312656
9.2,11.5,12.1,10.7,10.1,7.8,6.3,5.8,5.2,,36352,0.64245444744888
11.4,8.9,8.0,6.8,5.8,4.0,4.8,5.3,3.5,,40092,0.708552038598166
6.4,8.7,7.6,6.0,5.4,4.3,5.3,6.6,5.8,,45366,0.801760246010286
4.8,5.4,5.0,5.1,4.4,3.6,4.0,4.5,3.7,,75816,1.33990774614283
7.8,9.2,9.2,8.0,7.0,5.4,4.8,5.1,4.7,,42680,0.754290157821254
7.2,7.4,7.1,6.2,5.8,4.5,3.7,3.5,3.3,,97484,1.72284961914356
7.5,8.3,7.3,5.5,5.3,4.2,3.7,3.9,3.8,,40112,0.70890550165244
7.8,7.8,7.0,6.3,6.2,4.9,4.8,5.8,5.1,,46421,0.820405422123253
15.0,16.3,15.7,14.6,12.9,10.6,9.3,9.4,8.6,,38451,0.679550394994963
10.1,13.0,14.1,12.1,11.6,9.6,9.0,8.9,7.5,,36426,0.643762260749695
9.3,10.0,9.7,8.2,7.6,5.8,5.6,6.3,5.6,,45794,0.809324355371755
8.6,10.5,9.7,7.6,7.2,6.2,6.5,7.5,7.6,,51667,0.913118781259389
7.1,6.2,6.1,6.2,5.7,4.2,3.7,3.4,3.2,,39995,0.706837742784935
9.3,7.6,5.7,4.0,3.5,3.0,5.3,5.2,3.7,,47258,0.83519785094463
6.7,6.8,5.7,4.5,4.2,3.3,4.1,5.9,4.4,,50316,0.889242351943163
4.0,5.6,4.7,3.5,3.3,2.7,2.8,3.8,3.0,,55403,0.979145679797819
7.3,8.5,8.6,7.3,7.4,5.8,5.3,6.0,5.1,,37410,0.661152643019988
4.4,4.6,4.6,4.2,4.1,3.1,2.7,2.9,3.1,,55761,0.985472668469328
7.6,7.9,7.8,7.0,6.5,5.2,4.5,4.5,4.1,,52520,0.928193980524186
7.1,8.0,7.8,6.6,6.0,5.1,5.0,4.8,4.5,,56944,1.00638000812965
16.4,17.3,16.2,14.5,15.0,13.6,13.5,13.3,11.7,,26691,0.471714119081703
6.8,7.5,7.8,5.9,5.2,4.4,4.2,5.3,4.7,,42831,0.756958803881024
4.2,4.7,4.8,3.5,3.9,3.0,3.4,3.9,3.8,,60577,1.07058657193857
4.2,5.8,5.5,4.4,4.7,3.9,4.4,4.4,3.4,,44225,0.78159517876394
7.1,9.6,6.8,4.7,4.6,3.6,6.1,7.9,5.1,,54760,0.967781842602902
5.7,6.6,6.7,5.9,8.4,6.1,4.8,4.2,4.1,,38790,0.685541593764912
7.7,8.1,7.6,6.5,6.0,5.0,4.2,4.0,3.7,,61553,1.08783556898715
5.6,6.8,6.6,5.7,5.3,4.2,3.7,3.7,3.5,,48215,0.852111058091653
9.2,6.8,6.2,4.7,5.0,4.6,4.8,4.0,4.9,,41114,0.72661400067158
6.9,7.4,7.1,6.5,5.9,4.3,4.7,4.8,5.0,,38910,0.687662372090557
4.8,6.0,7.0,5.3,5.0,4.0,3.2,3.5,4.3,,42876,0.757754095753141
