Host_Country,2017,Year,Origin,Refugees,Asylum-seekers,Returned refugees,Internally_Displaced_Persons_(IDPs),Returned_IDPs,Stateless persons,Others_of_concern,Total_Population,country_code,rank,gdp,gdp_per_capita
Niger,21477348.0,2017.0,Syrian Arab Rep.,7.0,,,,,,,7.0,NER,144.0,8120.0,378.07
Nigeria,190886311.0,2017.0,Syrian Arab Rep.,154.0,60.0,,,,,,214.0,NGA,30.0,375771.0,1968.56
Netherlands,17132854.0,2017.0,Syrian Arab Rep.,30851.0,668.0,,,,,,31519.0,NLD,18.0,826200.0,48223.14
Norway,5282223.0,2017.0,Syrian Arab Rep.,11498.0,17.0,,,,,,11515.0,NOR,28.0,398832.0,75504.57
New Zealand,4793900.0,2017.0,Syrian Arab Rep.,65.0,,,,,,,69.0,NZL,50.0,205853.0,42940.61
Oman,4636262.0,2017.0,Syrian Arab Rep.,7.0,6.0,,,,,,13.0,OMN,71.0,72643.0,15668.44
Pakistan,197015955.0,2017.0,Syrian Arab Rep.,29.0,,,,,,,29.0,PAK,40.0,304952.0,1547.85
Panama,4098587.0,2017.0,Syrian Arab Rep.,,11.0,,,,,,11.0,PAN,74.0,61838.0,15087.64
Peru,32165485.0,2017.0,Syrian Arab Rep.,38.0,,,,,,,41.0,PER,49.0,211389.0,6571.92
Philippines,104918090.0,2017.0,Syrian Arab Rep.,74.0,40.0,,,,,,114.0,PHL,38.0,313595.0,2988.95
Poland,37975841.0,2017.0,Syrian Arab Rep.,512.0,18.0,,,,,,530.0,POL,23.0,524510.0,13811.68
Portugal,10293718.0,2017.0,Syrian Arab Rep.,307.0,,,,,,,307.0,PRT,46.0,217571.0,21136.29
Paraguay,6811297.0,2017.0,Syrian Arab Rep.,53.0,26.0,,,,,,79.0,PRY,99.0,29735.0,4365.54
Qatar,2639211.0,2017.0,Syrian Arab Rep.,34.0,,,,,,,35.0,QAT,54.0,167605.0,63505.72
Romania,19586539.0,2017.0,Syrian Arab Rep.,2282.0,167.0,,,,,,2449.0,ROU,48.0,211803.0,10813.7
Russian Federation,144495044.0,2017.0,Syrian Arab Rep.,1130.0,303.0,,,,,,1433.0,RUS,11.0,1577524.0,10917.5
Saudi Arabia,32938213.0,2017.0,Syrian Arab Rep.,14.0,34.0,,,,,,48.0,SAU,19.0,683827.0,20760.9
Sudan,40533330.0,2017.0,Syrian Arab Rep.,11240.0,439.0,,,,,,11679.0,SDN,59.0,117488.0,2898.55
Senegal,15850567.0,2017.0,Syrian Arab Rep.,,21.0,,,,,,21.0,SEN,117.0,16375.0,1033.09
El Salvador,6377853.0,2017.0,Syrian Arab Rep.,5.0,,,,,,,5.0,SLV,103.0,24805.0,3889.24
Somalia,14742523.0,2017.0,Syrian Arab Rep.,172.0,,,,,,,176.0,SOM,146.0,7369.0,499.85
Slovenia,2066748.0,2017.0,Syrian Arab Rep.,215.0,9.0,,,,,,224.0,SVN,84.0,48770.0,23597.46
Sweden,10067744.0,2017.0,Syrian Arab Rep.,103614.0,3531.0,,,,,,107145.0,SWE,22.0,538040.0,53441.96
Chad,14899994.0,2017.0,Syrian Arab Rep.,39.0,29.0,,,,,,68.0,TCD,138.0,9981.0,669.87
Togo,7797694.0,2017.0,Syrian Arab Rep.,,9.0,,,,,,9.0,TGO,155.0,4813.0,617.23
Thailand,69037513.0,2017.0,Syrian Arab Rep.,327.0,9.0,,,,,,336.0,THA,25.0,455221.0,6593.82
