state,date_installed,incentive_prog_names,type,size_kw,appraised,zipcode,install_type,installer,cost_per_watt,cost,lbnl_tts_version_year,lbnl_tts,city,utility_clean,tech_1,model1_clean,county,annual_PV_prod,annual_insolation,rebate,sales_tax_cost,tilt1,tracking_type,azimuth1,manuf2_clean,manuf3_clean,manuf1_clean,inv_man_clean,reported_annual_energy_prod,incentivetype,year_app_implied,year,npv_fit_real,application_implied,npv_pbi_real,other_incentive,appraised_cluster,inflation,other_incentive_real,zip_available,cust_city,pbi,pbi_real,pbi_length,application,fit_length,fit_rate,fit_payment,_3rdparty_implied,utility,install_price_real_w,install_price,installer_clean,manuf1_,inverter_reported,rebate_real,model1,_3rdparty,inv_model_reported,microinv_solarhub,bipv_3,bipv_2,bipv_1,sales_tax_rate,sales_tax_cost_real,bipv_all,thinfilm_all,china,sys_sizeac,pbi_rate,new_constr,effic_1,cust_county,tracking,inv_model_clean,mod_cost_real,inv_cost_real,bos_powerclerk_real,permitting_real,3rdparty,Filters=maxdate=1514678400&mindate=1483228800
ME,02/08/2017,,uir,7.36,,04353,Residential,,2.22,16358,,,Whitefield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,02/10/2017,,uir,12.099,,47712,Residential,,3.1,37500,,,Evansville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,02/10/2017,,uir,7.67,,47401,Residential,,2.49,19110,,,Bloomington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,02/10/2017,,uir,134.4,,75935,Government,Axium Solar,,,,,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,02/10/2017,,uir,100.32,,75212,Commercial,Axium Solar,,,,,Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,02/10/2017,,uir,12.099,,47712,Residential,Morton Solar,3.1,37500,,,Evansville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,02/10/2017,,uir,11.52,,44730,Residential,Paradise EnergySolutions,3.44,39610,,,East Canton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,02/14/2017,,uir,97.24,,47635,Commercial,,1.92,187000,,,Rockport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,02/14/2017,,uir,97.24,,47635,Commercial,Morton Solar,1.92,187000,,,Rockport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,02/21/2017,,uir,40.96,,12589,Commercial,Paradise Energy Solutions,2.53,103700,,,Wallkill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,02/21/2017,,uir,7.29,,17584,Residential,Paradise EnergySolutions,2.72,19840,,,Willow Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,02/22/2017,,uir,10.08,,76458,Residential,Axium Solar,3.5,35299,,,Jacksboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,02/23/2017,,uir,2.36,,47401,Residential,,3.37,7962,,,Bloomington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
