City,2016_Pop,2017_Pop,Pop_Change,Percent_Change,State
"Bowling Green, Kentucky",65539,67067,1528,2.3,Kentucky
"Fayetteville, Arkansas",83327,85257,1930,2.3,Arkansas
"Sparks, Nevada",98622,100888,2266,2.3,Nevada
"Boynton Beach, Florida",75957,77702,1745,2.3,Florida
"Chandler, Arizona",247838,253458,5620,2.3,Arizona
"Bellevue, Washington",141249,144444,3195,2.3,Washington
"Gilbert town, Arizona",237135,242354,5219,2.2,Arizona
"Chino Hills, California",78652,80374,1722,2.2,California
"Rogers, Arkansas",65011,66430,1419,2.2,Arkansas
"Fort Worth, Texas",855504,874168,18664,2.2,Texas
"Fishers, Indiana",89903,91832,1929,2.1,Indiana
"Reno, Nevada",243698,248853,5155,2.1,Nevada
"Cary town, North Carolina",162478,165904,3426,2.1,North Carolina
"Dublin, California",59682,60939,1257,2.1,California
"Pharr, Texas",77848,79487,1639,2.1,Texas
"Temple, Texas",72967,74503,1536,2.1,Texas
"Perris, California",76284,77879,1595,2.1,California
"Spokane Valley, Washington",95851,97847,1996,2.1,Washington
"Sioux Falls, South Dakota",173322,176888,3566,2.1,South Dakota
"Salem, Oregon",166378,169798,3420,2.1,Oregon
"Auburn, Alabama",62703,63973,1270,2.0,Alabama
"Greeley, Colorado",103369,105448,2079,2.0,Colorado
"Eugene, Oregon",165665,168916,3251,2.0,Oregon
"Gastonia, North Carolina",75125,76593,1468,2.0,North Carolina
"Coconut Creek, Florida",59845,61010,1165,1.9,Florida
"Pasco, Washington",71619,73013,1394,1.9,Washington
"Kingsport, Tennessee",52358,53374,1016,1.9,Tennessee
"Blaine, Minnesota",63335,64557,1222,1.9,Minnesota
"Greenville, South Carolina",66928,68219,1291,1.9,South Carolina
"Marysville, Washington",67565,68864,1299,1.9,Washington
"Rio Rancho, New Mexico",94346,96159,1813,1.9,New Mexico
"Huntersville town, North Carolina",55155,56212,1057,1.9,North Carolina
"Hillsboro, Oregon",104888,106894,2006,1.9,Oregon
"Kennewick, Washington",80077,81607,1530,1.9,Washington
"North Las Vegas, Nevada",238495,242975,4480,1.9,Nevada
"Olympia, Washington",50660,51609,949,1.9,Washington
"Iowa City, Iowa",74407,75798,1391,1.9,Iowa
"Missoula, Montana",72003,73340,1337,1.9,Montana
"Mesa, Arizona",487376,496401,9025,1.9,Arizona
"Roseville, California",132873,135329,2456,1.8,California
"Charlotte, North Carolina",843484,859035,15551,1.8,North Carolina
"Lakeland, Florida",106100,108054,1954,1.8,Florida
"Lodi, California",64695,65884,1189,1.8,California
"Maple Grove, Minnesota",69784,71066,1282,1.8,Minnesota
"Palm Bay, Florida",109650,111657,2007,1.8,Florida
"Burlington, North Carolina",52123,53077,954,1.8,North Carolina
"Carrollton, Texas",133321,135710,2389,1.8,Texas
"Tracy, California",89290,90889,1599,1.8,California
"Greenwood, Indiana",56368,57375,1007,1.8,Indiana
"Columbus, Ohio",863741,879170,15429,1.8,Ohio
"Rancho Cordova, California",72273,73563,1290,1.8,California
"Idaho Falls, Idaho",60005,61076,1071,1.8,Idaho
"Corvallis, Oregon",56945,57961,1016,1.8,Oregon
"Chico, California",91658,93293,1635,1.8,California
"Killeen, Texas",142960,145482,2522,1.8,Texas
"Wilmington, North Carolina",116985,119045,2060,1.8,North Carolina
"Hendersonville, Tennessee",56526,57517,991,1.8,Tennessee
"Pittsburg, California",70900,72141,1241,1.8,California
"Durham, North Carolina",263138,267743,4605,1.8,North Carolina
"Frederick, Maryland",70180,71408,1228,1.7,Maryland
"Vacaville, California",98313,100032,1719,1.7,California
"Alexandria, Virginia",157288,160035,2747,1.7,Virginia
"Southaven, Mississippi",53107,54031,924,1.7,Mississippi
"Fort Collins, Colorado",162308,165080,2772,1.7,Colorado
"Grand Junction, Colorado",61448,62475,1027,1.7,Colorado
"Ontario, California",172955,175841,2886,1.7,California
"Tulare, California",62808,63855,1047,1.7,California
"Fargo, North Dakota",120356,122359,2003,1.7,North Dakota
"Woodbury, Minnesota",68616,69756,1140,1.7,Minnesota
"Athens-Clarke County unified government (balance), Georgia",123670,125691,2021,1.6,Georgia
"San Antonio, Texas",1487738,1511946,24208,1.6,Texas
"Minneapolis, Minnesota",415622,422331,6709,1.6,Minnesota
"Lawrence, Kansas",95363,96892,1529,1.6,Kansas
"Albany, Oregon",52660,53503,843,1.6,Oregon
"Boca Raton, Florida",96607,98150,1543,1.6,Florida
"Surprise, Arizona",131980,134085,2105,1.6,Arizona
"Delray Beach, Florida",67670,68749,1079,1.6,Florida
"Rockville, Maryland",67331,68401,1070,1.6,Maryland
"Jonesboro, Arkansas",74683,75866,1183,1.6,Arkansas
"Avondale, Arizona",82716,84025,1309,1.6,Arizona
"West Des Moines, Iowa",64587,65608,1021,1.6,Iowa
"Las Vegas, Nevada",631710,641676,9966,1.6,Nevada
"Thornton, Colorado",134859,136978,2119,1.6,Colorado
"Rochester, Minnesota",113964,115733,1769,1.6,Minnesota
"Woodland, California",59102,60012,910,1.5,California
"Tuscaloosa, Alabama",98767,100287,1520,1.5,Alabama
"Longmont, Colorado",92917,94341,1424,1.5,Colorado
"Springfield, Oregon",61417,62353,936,1.5,Oregon
"Sammamish, Washington",63580,64548,968,1.5,Washington
"Scottsdale, Arizona",246204,249950,3746,1.5,Arizona
"Medford, Oregon",80557,81780,1223,1.5,Oregon
"Springdale, Arkansas",78419,79599,1180,1.5,Arkansas
"Davie town, Florida",103591,105149,1558,1.5,Florida
"Colorado Springs, Colorado",457600,464474,6874,1.5,Colorado
"Phoenix, Arizona",1602042,1626078,24036,1.5,Arizona
"Indio, California",88468,89793,1325,1.5,California
"Deltona, Florida",89410,90746,1336,1.5,Florida
"Madera, California",64545,65508,963,1.5,California
"Tacoma, Washington",210304,213418,3114,1.5,Washington
"Carmel, Indiana",90861,92198,1337,1.5,Indiana
"Miami, Florida",456632,463347,6715,1.5,Florida
"Temecula, California",112673,114327,1654,1.5,California
"Layton, Utah",75583,76691,1108,1.5,Utah
"Visalia, California",131096,133010,1914,1.5,California
"Laguna Niguel, California",65382,66334,952,1.5,California
"St. Charles, Missouri",69327,70329,1002,1.4,Missouri
"Melbourne, Florida",80844,82011,1167,1.4,Florida
"Murrieta, California",111719,113326,1607,1.4,California
"Palm Desert, California",52182,52932,750,1.4,California
"Boise City, Idaho",223361,226570,3209,1.4,Idaho
"Dallas, Texas",1322140,1341075,18935,1.4,Texas
"Conway, Arkansas",64854,65782,928,1.4,Arkansas
"Weymouth Town, Massachusetts",55865,56664,799,1.4,Massachusetts
"Denver, Colorado",694777,704621,9844,1.4,Colorado
"Sacramento, California",494894,501901,7007,1.4,California
"Kansas City, Missouri",482118,488943,6825,1.4,Missouri
"Lake Charles, Louisiana",76044,77117,1073,1.4,Louisiana
"Redwood City, California",85479,86685,1206,1.4,California
"Elk Grove, California",169454,171844,2390,1.4,California
"Washington, District of Columbia",684336,693972,9636,1.4,District of Columbia
"Denton, Texas",134385,136268,1883,1.4,Texas
"Homestead, Florida",68944,69907,963,1.4,Florida
"Rapid City, South Dakota",73407,74421,1014,1.4,South Dakota
"Olathe, Kansas",135601,137472,1871,1.4,Kansas
"Hesperia, California",93568,94859,1291,1.4,California
"Palm Beach Gardens, Florida",54288,55036,748,1.4,Florida
"Huntsville, Alabama",191956,194585,2629,1.4,Alabama
"Daytona Beach, Florida",67139,68055,916,1.4,Florida
"Allen, Texas",99338,100685,1347,1.4,Texas
"Lynchburg, Virginia",79912,80995,1083,1.4,Virginia
"Austin, Texas",938200,950715,12515,1.3,Texas
"Lewisville, Texas",104626,106021,1395,1.3,Texas
"Rock Hill, South Carolina",72108,73068,960,1.3,South Carolina
"Grand Rapids, Michigan",196251,198829,2578,1.3,Michigan
"Hanford, California",55768,56499,731,1.3,California
"Fairfield, California",114776,116266,1490,1.3,California
"O'Fallon, Missouri",86477,87597,1120,1.3,Missouri
"West Palm Beach, Florida",108818,110222,1404,1.3,Florida
"Cambridge, Massachusetts",112183,113630,1447,1.3,Massachusetts
"Flagstaff, Arizona",71060,71975,915,1.3,Arizona
"St. Petersburg, Florida",259919,263255,3336,1.3,Florida
"Shoreline, Washington",55480,56189,709,1.3,Washington
"Overland Park, Kansas",188867,191278,2411,1.3,Kansas
"Davis, California",68118,68986,868,1.3,California
"Jacksonville, Florida",880893,892062,11169,1.3,Florida
"Aurora, Colorado",362036,366623,4587,1.3,Colorado
"Norman, Oklahoma",121317,122843,1526,1.3,Oklahoma
"Pembroke Pines, Florida",168597,170712,2115,1.3,Florida
