"World TOP 20 Countries with highest primary energy production 
 in 2014 (Mtoe)", ,Biodiesel,Biomass and Waste Elec,Coal,Fuel Ethanol,Gas,Geothermal Elec,Hydroelectricity,Nuclear,Oil,"Solar, Tide and Wave Elec",Wind Elec
Mexico,,0.016147858584918996,0.25983974611531585,6.4781077569867564,-,44.348573811725814,0.5392666237910765,3.307809719845638,2.426066338362125,142.54933258333332,0.01069313501195918,0.4199200512616356
Iraq,,-,-,-,-,1.1397680574513063,-,0.3511932425761833,-,170.90866711805555,-,-
Algeria,,-,-,-,-,81.64807224492829,-,0.016427386575798904,-,87.24337421527777,-,-
Venezuela,,-,-,1.5976311068944529,-,23.261456998023313,-,7.133018056749784,-,136.32964690972221,-,-
Nigeria,,-,-,0.01895041781165471,-,37.20474338792684,-,0.5230449000888348,-,123.0530968611111,-,-
Kazakhstan,,-,-,50.117297233565345,-,20.20645080065037,-,0.6913155631986242,-,87.16088421527778,-,-
Kuwait,,-,-,-,-,14.87359112411891,-,-,-,140.9510381388889,-,-
South Africa,,0.0012854408275799999,0.024161650902837492,140.96461505915119,0.0029303510495999998,1.2454422858657204,-,0.0945829750644884,3.842726491049793,8.106604881944445,0.0018056749785038695,0.002751504729148753
France,,1.3424700431912064,0.6558039552880481,0.029681474786926763,0.47730346604861523,0.2991586523129267,0.008598452278589854,6.070507308684436,108.36655462622787,3.112841159722222,0.5700338525321751,1.4524998626237726
Colombia,,0.44901935550127037,0.12889079965606193,55.253795821509385,0.30708165901988393,7.901770211478528,-,3.7766981943250215,-,51.52141784722222,-,0.004954841152192605
United Kingdom,,0.14561085837172652,1.867020700660444,6.236511109772047,0.1896592114677925,36.676265355367924,-,0.4018916595012898,15.091065426405065,45.94713581944445,0.3366077283059179,2.09466539414331
Germany,,2.1694532553891124,3.8048151332760103,41.737755002978524,0.36264625250302734,9.299862508820151,0.01891659501289768,1.7015477214101464,23.914901378357953,8.062235583333333,2.9135775396649928,4.983647633827665
Turkmenistan,,-,-,-,-,84.84967352532819,-,0.0002416368514168725,-,14.009647479166667,-,-
Malaysia,,0.042848027585999995,0.19638865004299225,1.5831768124790513,-,59.304248410796504,-,0.7882201203783319,-,35.34637897222222,8.598452278589855e-07,-
Angola,,-,-,-,-,0.8359658317956995,-,0.3678680661103194,-,89.03009331944445,-,-
Egypt,,-,-,-,-,45.41984666454381,-,1.1010318142734308,-,33.80734278472222,1.7196904557179708e-05,0.13938763363949846
Argentina,,2.2218342900114996,0.1891659501289768,0.04156821774888994,0.13640598413790062,34.24626010402449,-,2.5342626246835316,1.493420881211079,36.253975805555555,0.0013369437305258225,0.05326697760059673
Oman,,-,-,-,-,27.57137524007503,-,-,-,48.20300564583333,-,-
Thailand,,0.9398943091454202,0.2727429062768702,5.01569288717778,0.336392467362995,44.95988958912533,0.00017196904557179707,0.47515047291487533,-,21.398914819444446,0.13897291696437042,8.598452278589854e-05
Ukraine,,-,0.011874932806333501,22.891499922452446,-,17.954673490053967,-,0.5367152576773241,21.397639334010787,3.3332301875,-,0.03760196917302715
Uzbekistan,,-,-,3.5082526619886365,-,53.96914198998,-,0.9741186586414446,-,4.286599541666667,-,-
Azerbaijan,,-,-,-,-,17.729232981214075,-,0.12674118658641442,-,43.387288416666664,-,0.0005144975543748925
Netherlands,,0.2589299307125496,0.49466196874216056,-,0.08300654775402308,55.92916754791633,-,0.009802235597592433,1.0092647005942696,2.0420137916666663,0.052459737064424874,0.6118395823464979
Poland,,0.45332510260454045,1.1906424672633045,50.071893409729775,0.11506131975409972,4.1609229174897395,-,0.20765262252794497,-,1.9900879791666664,0.00043575637684244915,0.48394790411990235
Viet Nam,,-,0.00472914875322442,22.240606814621295,-,8.503500959369973,-,4.601977644024076,-,16.010924229166665,-,0.004299226139294927
Pakistan,,-,-,1.121073787478019,-,38.15115024076862,-,2.7904557179707656,1.2009171682430495,4.966411534722221,-,0.001563354959743766
Republic of Korea,,0.2699425737918,0.10478279006574844,0.7493029434072024,-,0.6350088260720268,-,0.3650902837489252,38.866307095025924,3.998929861111111,0.20808929973676601,0.1026085721352505
Trinidad and Tobago,,-,0.0017196904557179708,-,-,39.11094951629578,-,-,-,5.9045730625,-,-
Libyan Arab Jamahiriya,,-,-,-,-,12.772702704646244,-,-,-,26.167372152777777,-,-
Spain,,0.568923135713375,0.4277398614258314,1.6953115144025326,0.35330537921221256,0.048097167052398096,-,3.131126397248495,14.286979858776935,2.031487597222222,1.2164141343258514,6.837042882603649
Ecuador,,-,0.04153052450558899,-,-,0.5977387288098535,-,0.9396388650042993,-,28.25071509722222,3.439380911435942e-06,0.00025795356835769565
Italy,,0.42106111053552003,1.4036116237169818,0.04838601667914431,0.026739252618624008,6.508706248993677,0.9856372819139728,4.381599312123817,-,8.589015243055556,2.120397165010684,1.3034598205398165
Japan,,0.0128544082758,3.00820763385308,-,-,5.972020771188862,0.2641359668873615,6.6,-,6.955873437499999,1.9149254409130518,0.4387556298366277
Peru,,0.0257088165516,0.06294067067927774,0.10171879225545882,0.07237967092512,13.891403022801276,-,1.7971625107480653,-,9.128568381944444,4.299226139294927e-06,8.598452278589854e-05
Turkey,,0.01738691516636752,0.10724423173964702,14.792359723261201,0.0019917102691146575,0.4333418095943345,0.15405488964762806,5.04548581255374,-,3.1149824930555554,0.08598452278589853,0.7863417617360527
Sweden,,0.24801539220859065,1.0295141874462597,-,0.08806997462517106,-,-,5.215993121238177,16.230938622883674,0.5931756944444445,0.004994823621041282,0.8737645052016879
Bolivia,,-,0.01349957007738607,-,-,20.43605804471608,-,0.18436985112820875,-,3.407523402777777,0.00025795356835769565,-
Romania,,0.04685630870102637,0.009544282029234737,4.253096055630858,0.008545266678104728,10.184160503967528,-,1.2892519346517626,2.800598670391496,5.251003048611111,0.00017196904557179707,-
Democratic People's Republic of Korea,,-,-,21.969327129653347,-,-,-,0.9488896951242772,-,0.004420555555555555,-,-
Bangladesh,,-,0.00017196904557179707,0.48228420056927945,-,21.961675174657376,-,0.09605661273452779,-,0.2425784930555556,0.009763044277933751,0.00017196904557179707
Czech Republic,,0.13040186374775642,0.4231592563286376,12.401082288547622,0.08620835493182845,0.20533790549293038,-,0.24445399828030953,7.461372104536335,0.5412645833333334,0.18090442379451435,0.04095588903599563
Equatorial Guinea,,-,-,-,-,6.866087446584014,-,0.0006272000962946785,-,13.636805555555554,-,-
Bahrain,,-,-,-,-,15.278178381774783,-,-,-,3.2273005972222224,-,0.00021496130696474635
Brunei Darussalam,,-,-,-,-,11.58373748072028,-,-,-,6.2853735069444445,-,-
Burma,,-,-,0.6790442564085682,-,15.20079482433015,-,0.5458334437796816,-,1.0558243472222222,-,-
Mongolia,,-,-,15.947864310092866,-,-,-,-,-,1.0568215069444442,3.4393809114359416e-05,0.00034393809114359415
Yemen,,-,-,-,-,9.357942234776472,-,-,-,6.463537611111111,-,-
Congo,,-,-,-,-,1.7546726998936917,-,0.08424697232249445,-,13.125379215277777,-,-
Denmark,,0.07824111824865386,0.4471195184866724,-,0.005945403788401961,4.584793129998424,-,0.001117798796216681,-,8.646885993055555,0.05141433619065968,1.1276377625370484
New Zealand,,0.00685568441376,0.06289376594589681,2.5387010342868774,0.0008791053148799999,5.2563591312691695,0.5995490273050099,1.9421324161650904,-,2.5201840694444444,-,0.1902970010369314
Taiwan,,0.0257088165516,0.292347377472055,-,0.014651755248,0.377614523872547,-,0.3062725478723669,10.630854910545663,1.0991858402777777,0.008245151266645994,0.1480603983364328
Gabon,,-,0.0006018916595012897,-,-,0.40555772006954666,-,0.08393740899319217,-,12.147991847222222,-,-
Belgium,,0.5437769478224515,0.5311732502601478,-,0.290669369689223,-,-,0.03069647463456578,8.362385679668568,0.6557833333333333,0.25805504115005934,0.3807951349458813
Switzerland,,-,0.21226225279449698,-,-,-,-,3.273860705073087,6.870945048073166,0.1961875,0.06702441835192559,0.010741105420404294
Philippines,,0.10712006896499998,0.014257186414695063,3.7055030441706367,0.0026373159446400002,3.2965734326539353,0.8636073335542772,0.820378331900258,-,1.3306450138888888,8.598452278589854e-05,0.008512467755803957
Hungary,,0.12170840616457267,0.1710696474634566,1.8571467857923205,0.04518506879185491,1.4639426846561263,-,0.018142734307824593,3.850282706688553,1.280793111111111,8.598452278589854e-05,0.06156491831470336
Serbia,,-,0.0006203323107786156,6.444647193760781,-,0.5378778425310308,-,0.7404558583584362,-,1.0424516597222222,-,-
Finland,,0.2228097434472,0.9303525365434222,-,-,-,-,1.094926913155632,5.902707209671956,0.5044604166666666,0.0006878761822871883,0.09633491630771877
Mozambique,,0.00085696055172,-,2.16613507938877,-,4.582354492287007,-,1.3999527368675453,-,0.0010138888888888888,-,-
Austria,,0.2685263677078395,0.5955666380051591,-,0.07608091222428795,1.1036622549888961,8.598452278589854e-05,3.5673258813413584,-,1.3443380902777777,0.07025981894349219,0.32225213019396937
Israel,,0.0042848027585999995,0.007520206362854685,-,-,6.841826463977639,-,0.002837489251934652,-,0.29184791666666665,0.08280162380606142,0.0006948244265528804
Bulgaria,,0.00869345758318376,0.003009458297506449,2.0863948631717646,-,0.2090313954274879,-,0.346603611349957,4.134031631882019,0.17153124305555556,0.12289038445456849,0.1157855399152791
Greece,,0.09997476220661326,0.027429062768701634,5.509351021555363,-,0.005029926951738861,-,0.5427343078245915,-,0.4433046666666667,0.1988876409800626,0.36277621236560065
Chile,,-,0.6160521779603721,2.8122882776552327,-,0.8989145758304414,-,1.702493551160791,-,0.7780786111111111,-,0.047283696216681
Syrian Arab Republic,,-,-,-,-,4.3974112559201926,-,0.20960416060645573,-,1.6579754930555555,-,-
Ghana,,-,-,-,-,-,-,0.7460065604622974,-,5.388517305555555,-,-
Slovakia,,0.07824111824865386,0.062278589853826324,0.5323060424470598,0.026605681953098783,0.10337996528923349,-,0.4092003439380912,3.757263086583809,0.4593423611111111,0.031018332922811885,0.0005159071367153913
Tunisia,,-,-,-,-,2.3018482148247013,-,0.010177060712189039,-,3.0106776597222225,-,0.047460223226749025
Paraguay,,-,-,-,0.0673980741408,-,-,5.139638865004299,-,0.10138888888888889,-,-
Chad,,-,-,-,-,-,-,-,-,5.242916777777777,-,-
Bosnia and Herzegovina,,-,-,4.303063739291713,-,-,-,0.5993121238177128,-,-0.0016196875,0.08598452278589853,-
Cameroon,,-,0.005073086844368014,-,-,0.31438483750799995,-,0.41959367743649123,-,4.124215097222223,-,-
Côte d'Ivoire,,-,0.00937231298366294,-,-,1.8576593720835306,-,0.16535389469070447,-,1.8577937291666664,-,-
Timor-Leste,,-,-,-,-,-,-,-,-,3.8776388402777773,-,-
Portugal,,0.21556799301555235,0.27485145712250375,-,-,-,0.019168792809621662,1.168615649183147,-,0.35886597222222216,0.05625251089036964,1.643726273890965
Cuba,,-,0.03912295786758384,-,0.0102562286736,0.964365294816,-,0.008711633859150756,-,2.4702206388888888,8.598452278589854e-06,0.0026855222380562076
Slovenia,,0.004145538327222161,0.02406219580933343,1.0076576205261008,-,0.0025342815590585236,-,0.39269131556319864,1.5789885093410456,0.015461805555555555,0.02188541688926854,-
Croatia,,0.047379343828351496,0.002837489251934652,-,-,1.2453730754638797,-,0.6827171109200344,-,0.9284753402777777,-,0.011951848667239898
Zimbabwe,,-,0.007939045169598091,1.850086955343389,0.0005860702099200001,-,-,0.4979290346615059,-,0.006083333333333333,-,-
Papua New Guinea,,-,0.12037833190025794,-,-,0.12679255615960308,0.034393809114359415,0.0496986746417504,-,1.7421591944444441,-,-
Belarus,,0.029993619310199993,0.10395528804815134,-,-,0.17128009008700834,-,0.011865864144454,-,1.6256866805555554,-,0.0007833743577713988
Democratic Republic of the Congo,,-,-,0.06313507744214104,-,-,-,0.7331218413954894,-,1.0138888888888888,-,-
Albania,,0.00012854408275800002,-,0.004128701165794301,-,0.015601493246598668,-,0.5947549441100601,-,1.0410656736111112,-,-
Iceland,,-,-,-,-,-,0.49887496565122474,1.094926913155632,-,-,-,-
Guatemala,,0.00085696055172,0.20146173688736027,-,0.234428083968,-,0.023301805674978505,0.349494911094839,-,0.7132170972222222,-,-
Kyrgyzstan,,-,-,0.3724930339189029,-,0.026351509107200844,-,1.1306188277795464,-,-0.042705,-,-
Tajikistan,,-,-,0.07800087977485688,-,0.010429346236357962,-,1.347608720351898,-,0.01068638888888889,-,-
Macedonia,,0.00217336439579594,-,1.11498961922851,-,-,-,0.13353396388650043,-,0.0020718819444444443,-,0.009792179472142485
Lao People's Democratic Republic,,-,-,0.3733371407440883,-,-,-,0.790918907870142,-,-,-,-
Niger,,-,-,0.14094374456197695,-,-,-,-,-,1.0138888888888888,-,-
Singapore,,-,0.10094582975064488,-,-,-,-,-,-,1.0223766597222221,0.001127444526083297,-
United Republic of Tanzania,,0.00042848027586,-,0.05685125880731749,-,0.9040836931560001,-,0.1531227483301837,-,0.0005069444444444444,-,-
Zambia,,-,-,-,-,-,-,1.0920266246767247,-,0.008851756944444445,-,-
Ireland,,0.03912055912432693,0.11539122957867584,0.03560411814067906,-,0.2773186010360329,-,0.049183147033533964,-,0.04679097222222222,4.299226139294927e-05,0.5235551957772182
Estonia,,0.0021424013792999998,0.09021070413911148,-,-,-,-,0.0020636285468615652,-,0.6590277777777778,-,0.056664078545464514
Suriname,,-,-,-,-,-,-,0.047518002868095044,-,0.7321088888888888,-,-
Armenia,,-,-,-,-,-,-,0.1851743738024633,0.59042705646317,-,-,0.00034393809114359415
Costa Rica,,-,0.015918994814556154,-,-,-,0.13146780067703076,0.567206560902161,-,0.01473586111111111,0.00017592578352405226,0.04015477214101462
Sudan,,-,0.04385210662080826,-,0.0058607020991999995,-,-,0.707652622527945,-,-,-,-
United States Virgin Islands,,-,-,-,-,-,-,-,-,0.7543515833333333,-,-
Georgia,,-,-,0.09906111982609102,-,-,-,0.5759817081606852,-,0.050694444444444445,-,8.598452278589854e-05
Lithuania,,0.07389438945706198,0.033353469061232474,-,0.004518506879185491,-,-,0.04376612209802235,-,0.4618654236111111,-,0.0705036921994259
Morocco,,-,-,-,-,0.06666973330060999,-,0.1507885600934431,-,0.2563572430555556,8.598452278589854e-06,0.17628082912792498
Ethiopia,,-,-,-,0.0029303510495999998,-,0.0015477214101461735,0.611463950496569,-,0.005069444444444445,2.5795356835769557e-05,0.007022175885590418
Montenegro,,-,-,0.3730048249984354,-,-,-,0.22312983662940672,-,-,-,-
Uruguay,,0.0042848027585999995,0.07609630266552021,-,0.0029303510495999998,-,-,0.4250485356551101,-,0.05996443055555555,-,0.01117798796216681
Kenya,,-,0.027171109200343938,-,-,-,0.13054600171969047,0.39737220542272067,-,-0.002944840277777778,-,0.0015477214101461735
Bhutan,,-,-,0.052222818938698345,-,-,-,0.4788822292265807,-,-,-,-
Afghanistan,,-,-,0.4450808417592862,-,-,-,0.05040865570806111,-,-,-,8.598452278589854e-06
Botswana,,-,-,0.4382284575595188,-,-,-,-,-,-,-,-
Panama,,-,0.0062768701633705935,-,-,-,-,0.4226726355117054,-,-,-,-
Latvia,,0.05042205398246581,0.02604484864755566,-,0.0029727018942009805,-,-,0.249183147033534,-,0.050694444444444445,-,0.011522490373229307
